,GU,XCODE,YCODE,stationName
8825,관악구,126.91470273670001,37.4876494225,신사동진양빌딩앞
8826,관악구,126.918618871,37.4823672056,호림박물관
8827,관악구,126.9192632133,37.4646708176,보성운수차고지맞은편
8828,관악구,126.90782,37.484088,조원아파트
8829,관악구,126.9344142103,37.490231056599995,성원홈아파트
8830,관악구,126.93430001639999,37.490203960100004,성원홈아파트
8831,관악구,126.90735954459998,37.4845729289,신림빗물펌프장
8832,관악구,126.95357231450001,37.4827934095,봉천사거리.위버폴리스
8833,관악구,126.9298128811,37.4815886215,서원동승리교앞
8834,관악구,126.9188888522,37.4627367836,서울난향초등학교
8835,관악구,126.9338192882,37.4864830322,은천길입구
8836,관악구,126.93834649940001,37.4651382749,대학동샘말공원
8837,관악구,126.9520815656,37.4692744185,서울대학교.치과병원.동물병원
8838,관악구,126.95193700000002,37.470034000000005,서울대학교.치과병원.동물병원
8839,관악구,126.93678,37.477526,신림2교
8840,관악구,126.9496319032,37.467660963600004,서울대학교
8841,관악구,126.929897162,37.4833220413,신림역2번출구
8842,관악구,126.94465370559999,37.4920953186,벽산블루밍아파트종점
8843,관악구,126.9110629666,37.4720765376,아카시아마을.민방위교육장
8844,관악구,126.9189072689,37.4634784081,난향동공영차고지
8845,관악구,126.9606640782,37.485586705500005,청림동푸르지오아파트121동앞
8846,관악구,126.92483185549999,37.4760734942,보명사.법화사
8847,관악구,126.9304689235,37.4752551368,현대아파트후문
8848,관악구,126.9686576958,37.4693187251,GS편의점.소망유통
8849,관악구,126.9415017348,37.4911953553,국사봉
8850,관악구,126.9407806333,37.4835247948,봉천역
8851,관악구,126.9110185142,37.471425905100006,뉴서울아파트
8852,관악구,126.9596641783,37.4860981959,푸르지오122동
8853,관악구,126.92422730450001,37.4757279844,승산밝은빛교회.구무림비디오
8854,관악구,126.9302023262,37.4762191632,코사마트
8855,관악구,126.96813615090001,37.4701674287,인수당약국
8856,관악구,126.94185036209998,37.4907882284,벽산아파트후문.만물슈퍼
8857,관악구,126.94657378389999,37.4831950485,신협
8858,관악구,126.91175418370001,37.4726771928,쌍용아파트후문
8859,관악구,126.95802206549999,37.4864265271,관악로입구
8860,관악구,126.9234984545,37.4753175115,한마음슈퍼
8861,관악구,126.9302987658,37.4770770731,혜성사세탁소
8862,관악구,126.9675399492,37.4710782857,우리현대마트
8863,관악구,126.9421119066,37.4903837611,우리슈퍼
8864,관악구,126.94682482530001,37.4847729966,두산아파트입구
8865,관악구,126.94658043860001,37.4929053524,벽산아파트501동.적십자센터
8866,관악구,126.9125494627,37.4732481844,신라놀이터
8867,관악구,126.92278882120002,37.4749187609,충남슈퍼.생각대로통신
8868,관악구,126.93031770270001,37.477383460300004,우리문방구
8869,관악구,126.9669821806,37.4719720293,동인약국.인헌중고입구
8870,관악구,126.9421010465,37.4898025437,수정슈퍼
8871,관악구,126.9469475848,37.4870735721,현대시장
8872,관악구,126.9438938598,37.4922931588,벽산아파트
8873,관악구,126.9137749689,37.474298874,두영아파트
8874,관악구,126.9262870497,37.461062865,삼성산주공정문
8875,관악구,126.9538359816,37.4824664116,서울대입구역2호선
8876,관악구,126.9220871034,37.4745263191,제일교회입구
8877,관악구,126.93063897,37.4784379432,GS편의점
8878,관악구,126.9668389441,37.4737417629,오리사랑
8879,관악구,126.9418663911,37.489075237399994,서울관광고등학교
8880,관악구,126.9464345431,37.4881663803,구암초등학교정문
8881,관악구,126.96377775059999,37.4796863627,현대홈타운아파트
8882,관악구,126.9131844409,37.4755708036,미성중학교
8883,관악구,126.9273354547,37.4617159167,삼성산주공307동앞
8884,관악구,126.95473312799999,37.4835760192,관악프라자
8885,관악구,126.9213944256,37.4741455935,남강중고등학교입구
8886,관악구,126.929792687,37.4790015356,동산교회
8887,관악구,126.9667445158,37.4750663629,하모니마트
8888,관악구,126.9415478054,37.4886722866,산성교회
8889,관악구,126.9460928644,37.4899711367,방앗간
8890,관악구,126.9624207194,37.477790012199996,낙성대역
8891,관악구,126.9136959114,37.4771733447,라이프아파트
8892,관악구,126.9266080891,37.463378011799996,2단지종합상가
8893,관악구,126.92023540379999,37.4742691695,애동유치원
8894,관악구,126.92812445780001,37.4794709098,서강약국
8895,관악구,126.9657720013,37.47542833,인헌시장입구
8896,관악구,126.9404796696,37.4880274638,경천교회
8897,관악구,126.95739231290001,37.4623361202,기숙사구관
8898,관악구,126.9472769839,37.4898211867,성현동주민센터
8899,관악구,126.95643044260001,37.4796244089,사랑의병원
8900,관악구,126.9160901041,37.4776805895,신림고등학교
8901,관악구,126.9266532339,37.4646107556,203동앞
8902,관악구,126.9577948573,37.4862759617,관악로입구
8903,관악구,126.918818829,37.4741762919,세이브마트
8904,관악구,126.92843139450001,37.4813012413,동부아파트
8905,관악구,126.9642792095,37.4761451688,파리바게트.낙성대지하철
8906,관악구,126.93931945790001,37.4865995241,국회단지입구
8907,관악구,126.95794998209999,37.4637141145,기숙사신관
8908,관악구,126.9476358057,37.4909558362,구암어린이집앞
8909,관악구,126.9626592502,37.477875692800005,낙성대역
8910,관악구,126.9174151184,37.489108435,우방아파트
8911,관악구,126.91838618610001,37.477979562600005,난곡터널
8912,관악구,126.9269067015,37.465525537,광신고등학교.주공1단지
8913,관악구,126.95924578389999,37.4860917446,우성아파트103동
8914,관악구,126.91773035700001,37.475947114,난우초등학교
8915,관악구,126.9284597454,37.4824006069,삼모타워앞
8916,관악구,126.9617606091,37.477107236799995,인헌초등학교
8917,관악구,126.9358819578,37.4864003668,은천교앞
8918,관악구,126.9577919023,37.4653946246,BK국제관
8919,관악구,126.9469497976,37.4919395356,관악드림타운2단지.관악선의복지관
8920,관악구,126.9634523678,37.4791501046,현대홈타운아파트
8921,관악구,126.921943609,37.4896512749,갑을아파트
8922,관악구,126.92703256620001,37.4790908751,신원동치안센터
8923,관악구,126.93005053559999,37.4668169248,유완약국.성림교회
8924,관악구,126.96089718120001,37.4852822095,행운동우성아파트109동앞
8925,관악구,126.9160683804,37.4778959384,신림고등학교
8926,관악구,126.9599795717,37.4778081338,낙성대입구
8927,관악구,126.93266646120001,37.4870744065,성당앞
8928,관악구,126.95776164719999,37.4669273981,가족생활동
8929,관악구,126.9244827354,37.4904278745,롯데백화점
8930,관악구,126.93108415100001,37.4676943096,삼성전자
8931,관악구,126.914867878,37.4806380449,신림체육센터
8932,관악구,126.9575345056,37.4787543427,낙성대동시장입구
8933,관악구,126.9341949443,37.4849351441,관악우체국
8934,관악구,126.9273005902,37.483709205,신림사거리.신원시장
8935,관악구,126.93163108200001,37.4692039821,삼성동시장
8936,관악구,126.91446344479999,37.4823011931,제일은행
8937,관악구,126.9297123852,37.4850605194,신림역
8938,관악구,126.9612871638,37.468020748,인헌아파트
8939,관악구,126.9332126245,37.4718550422,삼성동시장입구
8940,관악구,126.9282142759,37.4813200328,동부아파트
8941,관악구,126.96485576129999,37.4763210574,낙성대역
8942,관악구,126.9287658216,37.488731052199995,당곡사거리
8943,관악구,126.9579991818,37.4687224889,서울과학전시관
8944,관악구,126.9342753266,37.4868362979,은천교입구
8945,관악구,126.93408488979999,37.4869363286,은천교입구
8946,관악구,126.9273355747,37.4942872882,삼성아파트
8947,관악구,126.90826995719999,37.4835391709,조원경로당
8948,관악구,126.92796615649999,37.479473516700004,훼미리마트
8949,관악구,126.96682262629999,37.4748483171,하모니마트
8950,관악구,126.95864847440001,37.472172155900004,낙성대공원.영어마을
8951,관악구,126.91115612549999,37.4841117757,신도브래뉴.구펭귄아파트
8952,관악구,126.9298980497,37.478779025,동산교회
8953,관악구,126.9666847747,37.473684548899996,오리사랑
8954,관악구,126.93864930049999,37.4860927573,봉일시장
8955,관악구,126.95958785170001,37.4787451506,낙성대입구
8956,관악구,126.95915011940001,37.474872947,낙성대현대아파트
8957,관악구,126.93083215760001,37.4786119699,성지빌딩
8958,관악구,126.91223897709999,37.4835133502,펭귄시장
8959,관악구,126.96685105700001,37.4719152228,동인약국.인헌중고입구
8960,관악구,126.93942128270001,37.486535598,국회단지입구
8961,관악구,126.94166965129999,37.4832215646,봉천역
8962,관악구,126.94146809819999,37.4835774014,봉천역
8963,관악구,126.95915936200001,37.4765877555,인헌초등학교
8964,관악구,126.9140640456,37.4825153663,제일은행
8965,관악구,126.967356777,37.4711205873,우리현대마트
8966,관악구,126.9405543681,37.4879473031,경천교회
8967,관악구,126.9594607468,37.4775168997,낙성대입구
8968,관악구,126.9145351184,37.4809252573,신림체육센터
8969,관악구,126.9349782707,37.474853107399994,서림동주민센터
8970,관악구,126.96779460190001,37.4704430749,인수당약국
8971,관악구,126.9416010182,37.4885912136,산성교회
8972,관악구,126.92692161459999,37.4792376867,신원동치안센터
